;SOFTWARE REQUERIDO PREGRADO 2018-20;;;;;;;;;;;;;;;;;
;DPTO;SALA;MATERIA_NOMBRE;SOFTWARE REQUERIDO;Licencia;Versión 2018-1;Softw único;Tipo Licencia;cuantas;Nº de cursos;Nº de alumnos;Nº de alumnos Oferta;Procesador;velocidad del procesador;arquitectura;sistema operativo;memoria ram(GB);disco duro(GB)
;DIS;310C;Animación III;Maya Unlimited;Convenio;2018.1.1;;Limitada a cantidad Concurrente;;0;0;0;;;64 bits;;;
;DIS;310C;Animación III;3ds Max Studio;Convenio;2018(20.0.0.966);;Limitada a cantidad Concurrente;;0;0;0;Intel o AMD multicore;1 GHz;64 bits;>=Windows 7;4;6
;DIS;311C;Prototipos experimentales;Adobe Reader;Aplicación gratuita;2018.009.20044;;Libre;;0;0;0;Intel; 1,3 GHz;64 bits;>=MAC OS 10.8;1;0.350
;DIS;311C;Prototipos experimentales;Code Blocks;Aplicación gratuita;16.01;;Libre;;0;0;0;Intel Core 2;1 ghz;64 bits;>=Windows  7;0.512;0.3
;DIS;311C;Prototipos experimentales;Openframeworks;Aplicación gratuita;#¡REF!;;Libre;;0;0;0;;;64 bits;;;
;DIS;311C;Prototipos experimentales;Community Core Vision ;Aplicación gratuita;#¡REF!;;Libre;;0;0;0;Intel Core 2;2 GHz;64 bits;>=Mac OS X 10.6.8;0.512;1
;DIS;311C;Prototipos experimentales;Creative Cloud;Licenciado-anual;Creative Coud (crear paquete);;Limitada a cantidad;;1;16;24;Multicore Intel processor.;3,33GHz;64 bits;>=Mac OS X 10.6.8;4;10.5
;DIS;311C;Prototipos experimentales;Unity 3D;Aplicación gratuita;2017.2.0;;Libre;;1;16;24;instrucciones SSE2;3.4 GHz;64 bits;>=Mac OS X 10.9;8;4.1
;DIS;311C;Prototipos experimentales;SDK Kinect;Aplicación gratuita;#¡REF!;;Libre;;1;16;24;64-bit processor.;3.1 GHz;64 bits;>=Mac OS X 10.9 ;2;1
;DIS;311C;Prototipos experimentales;Osculator;Aplicación gratuita;3.1.1;;Libre;;1;16;24;;;64 bits;;;
;DIS;311C;Prototipos experimentales;Processing + librerías;Aplicación gratuita;3.3.6;;Libre;;1;16;24;Intel i5;3 ghz;64 bits; Windows 10;16;64
;DIS;311C;Prototipos experimentales;PureData;Aplicación gratuita;0.48.0;;Libre;;1;16;24;;;64 bits;;;
;DIS;311C;Prototipos experimentales;Reactivision;Aplicación gratuita;1.5.1;;Libre;;1;16;24;;;64 bits;;;
;DIS;311C;Prototipos experimentales;Wiring;Aplicación gratuita;1.0.1;;Libre;;1;16;24;Intel Pentium Dual-Core;1 Ghz;64 bits;MAC OS X;2;1.5
;DIS;311C;Prototipos experimentales;Fritzing;Aplicación gratuita;0.9.3;;Libre;;1;16;24;;;64 bits;;;
;DIS;311C;Prototipos experimentales;Arduino;Aplicación gratuita;1.8.5;;Libre;;1;16;24; with SSE2 instruction set.;1Ghz;64 bits;>=Windows7;1;0.103
;DIS;311C;Prototipos experimentales;JRE Y JDK ;Aplicación gratuita;#¡REF!;;Libre;;1;16;24;;;64 bits;;1;1
;DIS;311C;Prototipos experimentales;JRE Y JDK ;Aplicación gratuita;#¡REF!;;Libre;;1;16;24;;;64 bits;;1;1
;DIS;311C;Prototipos experimentales;Scratch;Aplicación gratuita;458.0.1;;Libre;;1;16;24;;;64 bits;;;
;DIS;311C;Prototipos experimentales;Android Studio + paquetes SDK;Aplicación gratuita;3.0.1;;Libre;;1;16;24;intel;2Ghz;64 bits;MacOS 10.10 ;9;6
;DIS;311C;Prototipos experimentales;SDK Android;Aplicación gratuita;36.4111454;;Libre;;1;16;24;;;64 bits;;1;1
