;SOFTWARE REQUERIDO PREGRADO 2018-20;;;;;;;;;;;;;;;;;
;DPTO;SALA;MATERIA_NOMBRE;SOFTWARE REQUERIDO;Licencia;Versión 2018-1;Softw único;Tipo Licencia;cuantas;Nº de cursos;Nº de alumnos Demanda;Nº de alumnos Oferta;Procesador;velocidad del procesador;arquitectura;sistema operativo;memoria ram;disco duro
;IND;SALÓN;Cadenas de abastecimiento;Factorio;Licenciado-perpetuo;Online;SI;Limitada a cantidad;31;2;65;70;;;;;;
;IND;207C / 304C;Análisis de decisiones;Office;Licenciado-anual;2013;;Contrato Microsoft;;1;33;38; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2 GB;3 GB
;FIN;207C / 303C;Análisis de decisiones;@Risk;Mantenimiento-anual;7.5.1;;Limitada a cantidad Concurrente;;1;33;38; with SSE2 instruction set.;2 GHz;65 bits;>= windows 7;2 GB;1 GB
;IND;201H;Automatización industrial;RoboPro;Licenciado-perpetuo;4.2.3;;Limitada a cantidad Concurrente;;0;0;0;;;;;;
;IND;305C;Simulación discreta;Office;Licenciado-anual;2013;;Contrato Microsoft;;2;47;56; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2 GB;3 GB
;IND;305C;Simulación discreta;Promodel;Mantenimiento-anual;Perpetua (9.1.0.1639);;Limitada a cantidad Concurrente;;2;47;56;;;;;;
;IND;305C;Simulación discreta;Lingo Student;Mantenimiento-anual;17.0;;Ilimitada;;2;47;56;;;;;;
;IND;305C;Simulación discreta;Máquina Virtual Ing. Industrial, XP, LOGWARE, WinQSB, EasyReg , Rstudio, Software R;#N/A;#N/A;;#N/A;;2;47;56;;;;;;
;FIN;305C;Simulación discreta;@Risk;Mantenimiento-anual;7.5.1;;Limitada a cantidad Concurrente;;2;47;56; with SSE2 instruction set.;2 GHz;65 bits;>= windows 7;2 GB;1 GB
;IND;201H;Scheduling;Matlab;Licenciado-anual;9.3.0.713579;;Limitada a cantidad Concurrente;;0;0;0;Intel o AMD X86-64;1 GHz;64 bits;>=Windows 7;2 GB;2 GB
;IND;205C;Modelación en Excel;SQL Server;Licenciado-anual;2014.0120.2000.08;;Convenio;;1;8;30;;;;;;
;IND;205C;Introducción a visual basic for applications;Office;Licenciado-anual;2013;;Contrato Microsoft;;0;0;0; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2 GB;3 GB
;ECO;303C;Econometría;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;87;90; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2 GB;3 GB
