;SOFTWARE REQUERIDO PREGRADO 2018-20;;;;;;;;;;;;;;;;;
;DPTO;SALA;MATERIA_NOMBRE;SOFTWARE REQUERIDO;Licencia;Versión 2018-1;Softw único;Tipo Licencia;cuantas;Nº de cursos;Nº de alumnos;Nº de alumnos Oferta;Procesador;velocidad del procesador;arquitectura;sistema operativo;memoria ram(GB);disco duro(GB)
;IND;305C;Simulación discreta;Máquina Virtual Ing,Industrial, XP,LOGWARE,WinQSB,EasyReg,Rstudio,Software R;#N/A;#N/A;;#N/A;;2;47;56;Core 2 Duo;3Ghz;64 bits; >=Windows 7;4;40
;FIN;305C;Simulación discreta;@Risk;Mantenimiento-anual;7.5.1;;Limitada a cantidad Concurrente;;2;47;56; with SSE2 instruction set.;2 GHz;64 bits;>= windows 7;2;1
;IND;201H;Scheduling;Matlab;Licenciado-anual;9.3.0.713579;;Limitada a cantidad Concurrente;;0;0;0;Intel o AMD X86-64;1 GHz;64 bits;>=Windows 7;2;2
;IND;205C;Modelación en Excel;SQL Server;Licenciado-anual;2014.0120.2000.08;;Convenio;;1;8;30;x64 Processor; 2.0 GHz ;64 bits;Windows 10 ;2;8
;IND;205C;Introducción a visual basic for applications;Office;Licenciado-anual;2013;;Contrato Microsoft;;0;0;0; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;ECO;303C;Econometría;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;87;90; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;ECO;303C;Econometría;TexNicCenter Latex;Aplicación gratuita;2.02;SI;Libre;;3;87;90;;;64 bits;;;
;ECO;303C;Econometría;Miktex;Aplicación gratuita;2.9.6515;SI;Libre;;3;87;90;;;64 bits;;;
;ECO;303C;Econometría;Stata SE ;Licenciado-anual;15.1;SI;Limitada a cantidad;36;3;87;90; 64-bit processor;2 GHz;64 bits;Windows 8;2;1
#¡REF!;ECO;303C;Econometría II;Miktex;Aplicación gratuita;2.9.6515;;Libre;;0;0;0;;;64 bits;;;
;ECO;207C/302C;Econometría II;EViews ;Licenciado-anual;10;;Limitada a cantidad Concurrente;;0;0;0;;;64 bits;;;
;ECO;207C/302c;Econometría II;TexNicCenter Latex;Aplicación gratuita;2.02;;Libre;;0;0;0;;;64 bits;;;
;ECO;303C/203C;Medición económica;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;77;88; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;ECO;303C;Econometría Avanzada I;Miktex;Aplicación gratuita;2.9.6515;;Libre;;0;0;0;;;64 bits;;;
